,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3832,00GYNdeBpo0QtByS8MIi9q,Meridian,ODESZA,34,2017-06-14,0.517,0.66,5,-6.175,0,3.4e-05,0.252,0.571,0.0701,90.007,235861,4
3833,6dtsXtlem4iRCsJo9uCVDJ,Ocho Cinco - Cesqeaux Remix,Yellow Claw,15,2016-12-30,0.642,0.967,1,-3.079,0,0.00588,0.782,0.515,0.557,149.978,214400,4
3834,0VySQgGbkVVLgOWC6mInii,Once is Enough,Amtrac,0,2016-01-28,0.674,0.855,1,-5.29,1,0.013,0.698,0.101,0.307,121.987,334154,4
3835,77y24rCvwUP1VGcI2AoZ3n,Underground,Pep & Rash,0,2017-06-12,0.607,0.835,9,-7.751,1,0.000419,0.855,0.953,0.518,124.981,182465,4
3836,5PnbRlqlnkxfQKOANnteEb,Love Unlimited,S.P.Y,18,2017-07-28,0.59,0.932,8,-3.704,1,0.0833,0.00392,0.0717,0.647,169.933,256139,4
3837,4iaDq2VdBzaB9jQbe90oqO,Shimmer,Notaker,0,2017-02-06,0.504,0.62,6,-8.945,1,0.0109,0.779,0.0939,0.0397,102.021,286212,4
3838,1caiTJ5rvetBED5z8oZtyy,Like This,Wild Boyz!,13,2017-07-10,0.341,0.992,11,-0.292,0,3.53e-05,0.458,0.963,0.28,112.556,240400,3
3839,1YmtX6evFjOHCWmlkC4XEi,Battleground,Elle Vee,30,2017-02-24,0.517,0.876,6,-6.135,1,0.0179,0.16,0.0707,0.226,135.018,310202,4
3840,3phOEX6cjRAf6iKmAZb5uM,Contagious (DJ MERCER Remix),DJ MERCER,23,2017-04-07,0.786,0.882,9,-5.029,1,0.000725,0.817,0.259,0.25,125.999,245714,4
3841,05h42SuH5WMgxNGEy7dbcY,I Want You,Chris Lake,34,2017-05-05,0.775,0.883,11,-5.83,0,0.00433,0.346,0.057,0.667,125.006,248007,4
3842,2eNuVckOo61ImzgFtQK6tK,Game Time - Original Mix,Zomboy,0,2011-08-22,0.336,0.882,5,-5.483,0,0.00235,0.118,0.0978,0.243,139.994,236947,4
3843,7HgwuTbHm1JZRlzppVTfPU,The Way of Mary,The Night Café,38,2017-03-10,0.373,0.861,11,-3.298,1,0.000632,0.00272,0.0962,0.728,164.899,217708,4
3844,3nWAEl9pelDAUSXXAZR4Gz,Girls,The 1975,41,2013,0.657,0.913,11,-4.984,1,0.00392,0.00149,0.466,0.906,108.036,254613,4
3845,3B6mCjnpTthmtFPuTAH0Kz,Luna,Bombay Bicycle Club,0,2014-02-04,0.582,0.916,5,-5.393,1,0.0275,0.000331,0.149,0.386,121.988,190867,4
3846,63NfeOqLaCszi5gKAaP7qP,Goodbye Mr A,The Hoosiers,43,2008-04-15,0.468,0.841,4,-3.263,1,0.085,0.00195,0.187,0.574,185.966,266813,4
3847,37afl1KZuSqedp3KDSA1dh,"Think Too Much, Feel Too Little",JAWS,32,2014-09-14,0.65,0.763,2,-4.297,1,0.0204,0.00113,0.154,0.244,95.036,188613,4
3848,1aB3C7GKpCFgsdhqzfZW0U,Bloodshake,Peace,37,2012-09-07,0.524,0.841,4,-5.039,0,0.00246,0.00128,0.289,0.247,128.004,235587,4
3849,1dzT6BUr1BCr8kbrXwP8qE,The 17th,Courteeners,0,2016-10-28,0.771,0.564,9,-8.642,1,0.0379,0.00323,0.0715,0.913,122.998,325284,4
3850,3rOZeI5hivRZ2uNEzqb1N1,Fabulous,Ryan,0,2007-01-01,0.827,0.761,8,-5.185,1,0.233,0.0,0.0453,0.703,131.996,180693,4
3851,6VtWo3dc94tmWPU9fwgYXL,I Don't Dance,Ryan,0,2007-01-01,0.804,0.88,9,-5.061,0,0.00317,0.0,0.226,0.682,104.111,217240,4
3852,2q4nPqFUB07iAIvC5BI6BC,You Are The Music In Me,Sharpay Evans,0,2007-01-01,0.535,0.931,7,-3.264,1,0.102,0.0,0.389,0.819,141.949,147280,4
3853,4bp5Np2wtVyM6EVStsRE2A,Humuhumunukunukuapua'a,Ryan,0,2007-01-01,0.733,0.856,1,-6.071,0,0.239,0.0,0.344,0.78,170.014,188160,4
3854,5LAzTt4otLfVDscZZ6lCaB,You Belong to Me,Cobra Starship,21,2011-08-29,0.498,0.758,9,-4.513,1,0.012,0.0,0.0936,0.321,126.913,275800,4
3855,4GwMKZSwHpXsC8HLKYYFi7,Fool Like Me (feat. Plastiscines),Cobra Starship,27,2011-08-29,0.572,0.925,9,-3.232,1,0.109,0.0,0.849,0.676,133.992,220173,4
3856,1YSG4Ratk327nv6q3fg9Rl,Anything for Love,Cobra Starship,17,2011-08-29,0.629,0.834,11,-4.559,1,0.00675,2.76e-05,0.066,0.459,117.969,251213,4
3857,2vjmUmO71XEDuitvK4sxRM,Middle Finger (feat. Mac Miller),Cobra Starship,42,2011-08-29,0.677,0.823,11,-4.025,0,0.0229,0.0,0.172,0.705,135.92,212130,4
